name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_55917,YYXXXXyX,YYXYXXyXXyX,1,104606,13,2
ac19_55920,YXXYx,YYYXXyxxyXYXyx,1,104612,11,2
ac19_55922,YXYXyx,YYXXyxYxYXyyx,1,104631,13,2
ac19_55924,YYXXYx,YYxYXyxxYXyXX,1,104637,12,2
ac19_55926,YXXXyxx,YYXXyyXXYx,2,104648 137532,10,2
ac19_55930,YYXXXXX,YYYXXyyyxYXX,1,104661,13,2
ac19_55934,YYXXXyX,YYYxyyxyxxyx,1,104672,16,2
ac19_55936,YXyXXyx,YYYXXyyXXyyx,1,104677,101,2
ac19_55937,YXX,YYXXyxYYxyXyXyx,1,104679,8,2
ac19_55940,YXXyxYx,YYYXYxxyXYYX,1,104687,14,2
ac19_55941,YYXXX,YYYYXXXXYxyyX,1,104689,8,2
ac19_55944,YXXXXYx,YYXyxxyXXXYx,1,104700,14,2
ac19_55946,YYXXyxxyx,YYYYxxyyyx,1,104704,164,2
ac19_55947,YYXXXyxx,YYXYXYxxyyX,1,104708,43,2
ac19_55948,YXYXX,YYYXYXXXyyXXYx,1,104711,18,2
ac19_55949,YXYxyx,YYXYxxYxYYxxx,1,104718,46,2
ac19_55950,YYXXXXXXX,YYYxyyxyyx,1,104720,16,2
ac19_55953,YYXXyxx,YYXXyxYYxYX,1,104723,15,2
ac19_55954,YYXXXXyx,YYXyyXXyxYx,1,104725,9,2
ac19_55955,YXXXXXXYx,YYxxyXyxyx,1,104727,44,2
ac19_55957,YYXXX,YYYXXXyxyXYxyx,1,104735,9,2
ac19_55959,YXYXyx,YYXYxyyXXXYYx,1,104739,397,2
ac19_55960,YXXYx,YYYYXYxyXXXYx,1,104740,11,2
ac19_55961,YXXyXyx,YYXYxyyXXyx,3,104742 118599 119067,9,2
ac19_55962,YXXyXYx,YYYXXyXXXyxx,1,104744,30,2
ac19_55964,YYXXyx,YYXXXXYXXXYYx,1,104755,38,2
ac19_55966,YXX,YYXyXYXyXyXYYxx,1,104760,11,2
ac19_55970,YXXYx,YYYXXYxxyXXyyx,1,104776,20,2
ac19_55971,YXYXXYx,YYXYxxyyXX,1,104779,111,2
ac19_55972,YYXXYx,YYYYYXXXyXYxx,1,104783,70,2
ac19_55974,YYXXYx,YYXXXXXYxxyxx,1,104788,30,2
ac19_55976,YXXX,YYYYxxyXyXyyx,1,104794,9,2
ac19_55977,YYXXXYx,YYYxYYXyyyX,2,104796 124995,45,2
ac19_55980,YYXXX,YYYXyxxYXyyX,2,104802 139392,13,2
ac19_55981,YXXyXyxx,YYYxyxyXXYx,1,104807,9,2
ac19_55982,YXXYx,YYXyyXXYxYXYxx,1,104810,39,2
ac19_55983,YXYxYXXYx,YYXXyxYxYX,3,104812 119810 137181,16,2
ac19_55986,YYXXyx,YYYXYYXXXXyyx,1,104816,8,2
ac19_55987,YYXXYx,YYYXYxxyXXYYX,1,104819,82,2
ac19_55989,YXXYx,YYYXYxxxYXyXyX,1,104823,22,2
ac19_55990,YYXXX,YYYYXXyyxxyX,2,104825 113019,8,2
ac19_55993,YXXYx,YYXXYxxyyXyyxx,1,104832,11,2
ac19_55995,YXYXX,YYXXXYxYXyXyXYx,1,104834,12,2
