name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_59078,YXYXyx,YYXYxyyXXXyxxxx,1,113563,578,2
ac19_59236,YXXYx,YYXYXXyxxYxyyX,1,114027,586,2
ac19_59281,YXyXXXyx,YYYxyxxxx,1,114138,542,2
ac19_59363,YXXYx,YYYXYXYYxxyyyX,1,114337,975,2
ac19_59393,YXYXyx,YYYxxyXXXyXYX,2,114444 118429,667,2
ac19_59446,YXyXXyx,YYXYxyxyxYx,1,114609,538,2
ac19_59475,YXXXyxx,YYXyxxxYxxyx,2,114689 133451,651,2
ac19_59481,YXYXyx,YYXYYxxYXXyXX,1,114698,913,2
ac19_59555,YXXYx,YYYYXYXYYYXXyx,1,114920,985,2
ac19_59653,YXXYx,YYYXYxyyXyyxyx,1,115196,613,2
ac19_60005,YXyXXyx,YYxyxyxYXyxYXYx,2,116340 124633,747,2
ac19_60077,YXyXXyx,YYxYxyxYxyxyXYX,2,116557 144278,632,2
ac19_60108,YXyXXyx,YYYxyxyxYXXyxYx,2,116660 124769,656,2
ac19_60142,YXXYx,YYYxyXYYXYXyyx,1,116795,936,2
ac19_60191,YXYXyx,YYXyXYXyXXXyxYxxx,2,116936 141462,599,2
ac19_60397,YXXXyxx,YYXXyXYXXXXyX,1,117505,645,2
ac19_60447,YXYXyx,YYXXyXXXYxYxxyx,1,117636,748,2
ac19_60482,YXYXyx,YYXXyxyXyXXYYxx,2,117735 131647,928,2
ac19_60642,YXYXyx,YYYYxyXyxyyXyxx,1,118269,828,2
ac19_60763,YXyXXyx,YYYXyXYxxxyxx,1,118689,638,2
ac19_60831,YXYXyx,YYXXXXXyyxYxxyx,1,118876,518,2
ac19_61062,YXYXyx,YYXyyXXXyxxxx,1,119539,604,2
ac19_61208,YXYXyx,YYYxxxYXyxyyXyX,1,119939,571,2
ac19_61358,YXyXXXyx,YYYxxxxyXyx,2,120363 154401,760,2
ac19_61367,YXYXyx,YYYXXXyXyxxYxyx,1,120393,533,2
ac19_61529,YXXyxYXXyxx,YYXXyxYxyxYxyx,1,120854,585,2
ac19_61573,YXYXyx,YYXyXyXXXYxxxYX,1,120987,682,2
ac19_61678,YXyXXXXyx,YYXyXXyxyX,2,121314 137748,619,2
ac19_61807,YXXYx,YYXYXyyXYXYxxyyx,1,121737,834,2
ac19_62440,YYXyxxxyX,YXyXYXyXyx,1,123748,641,2
