name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_10354,greedy,1,4,3,10000,48
ac19_10355,greedy,1,68,23,10000,48
ac19_10356,greedy,1,3,2,10000,48
ac19_10357,greedy,1,7,6,10000,48
ac19_10358,greedy,1,217,57,10000,48
ac19_10359,greedy,1,7,6,10000,48
ac19_1036,greedy,1,732,94,10000,48
ac19_10360,greedy,1,5,4,10000,48
ac19_10361,greedy,1,6,5,10000,48
ac19_10362,greedy,1,193,38,10000,48
ac19_10363,greedy,1,6,5,10000,48
ac19_10364,greedy,1,30,18,10000,48
ac19_10365,greedy,1,10,9,10000,48
ac19_10366,greedy,1,9,8,10000,48
ac19_10367,greedy,1,59,15,10000,48
ac19_10368,greedy,1,26,10,10000,48
ac19_10369,greedy,1,963,58,10000,48
ac19_1037,greedy,1,9,8,10000,48
ac19_10370,greedy,1,10,8,10000,48
ac19_10371,greedy,1,105,21,10000,48
ac19_10372,greedy,1,9,8,10000,48
ac19_10373,greedy,1,5,4,10000,48
ac19_10374,greedy,1,10,9,10000,48
ac19_10375,greedy,1,11,9,10000,48
ac19_10376,greedy,1,15,13,10000,48
ac19_10377,greedy,1,12,10,10000,48
ac19_10378,greedy,1,7,6,10000,48
ac19_10379,greedy,1,2850,192,10000,48
ac19_1038,greedy,1,526,32,10000,48
ac19_10380,greedy,1,28,12,10000,48
ac19_10381,greedy,1,59,26,10000,48
ac19_10382,greedy,1,7,6,10000,48
ac19_10383,greedy,1,1045,91,10000,48
ac19_10384,greedy,1,378,69,10000,48
ac19_10385,greedy,1,16,14,10000,48
ac19_10386,greedy,1,23,9,10000,48
ac19_10387,greedy,1,5,4,10000,48
ac19_10388,greedy,1,125,30,10000,48
ac19_10389,greedy,1,10,9,10000,48
ac19_1039,greedy,1,179,41,10000,48
ac19_10390,greedy,1,8,7,10000,48
ac19_10391,greedy,1,7,6,10000,48
ac19_10392,greedy,1,56,11,10000,48
ac19_10393,greedy,1,8,7,10000,48
ac19_10394,greedy,1,6,5,10000,48
ac19_10395,greedy,1,8,7,10000,48
ac19_10396,greedy,1,534,78,10000,48
ac19_10397,greedy,1,383,39,10000,48
ac19_10398,greedy,1,6,5,10000,48
ac19_10399,greedy,1,6,5,10000,48
ac19_104,greedy,1,854,47,10000,48
ac19_1040,greedy,1,10,9,10000,48
ac19_10400,greedy,1,566,85,10000,48
ac19_10401,greedy,1,4144,18,10000,48
ac19_10402,greedy,1,9,8,10000,48
ac19_10403,greedy,1,45,14,10000,48
ac19_10404,greedy,1,10,9,10000,48
ac19_10405,greedy,1,260,11,10000,48
ac19_10406,greedy,1,5,4,10000,48
ac19_10407,greedy,1,4,3,10000,48
ac19_10408,greedy,1,13,12,10000,48
ac19_10409,greedy,1,20,8,10000,48
ac19_1041,greedy,1,10,8,10000,48
ac19_10410,greedy,1,21,10,10000,48
ac19_10411,greedy,1,10,8,10000,48
ac19_10412,greedy,1,9,8,10000,48
ac19_10413,greedy,1,119,39,10000,48
ac19_10414,greedy,1,293,30,10000,48
ac19_10415,greedy,1,18,7,10000,48
ac19_10416,greedy,1,260,30,10000,48
ac19_10417,greedy,1,96,26,10000,48
ac19_10418,greedy,1,10,9,10000,48
ac19_10419,greedy,1,11,9,10000,48
ac19_1042,greedy,1,13,8,10000,48
ac19_10420,greedy,1,8,7,10000,48
ac19_10421,greedy,1,6,5,10000,48
ac19_10422,greedy,1,6,5,10000,48
ac19_10423,greedy,1,10,9,10000,48
ac19_10424,greedy,1,11,10,10000,48
ac19_10425,greedy,1,13,8,10000,48
ac19_10426,greedy,1,8,7,10000,48
ac19_10427,greedy,1,732,94,10000,48
ac19_10428,greedy,1,7,6,10000,48
ac19_10429,greedy,1,21,9,10000,48
ac19_1043,greedy,1,8,7,10000,48
ac19_10430,greedy,1,3513,11,10000,48
ac19_10431,greedy,1,36,23,10000,48
ac19_10432,greedy,1,74,19,10000,48
ac19_10433,greedy,1,6,5,10000,48
ac19_10434,greedy,1,23,10,10000,48
ac19_10435,greedy,1,12,10,10000,48
ac19_10436,greedy,1,91,20,10000,48
ac19_10437,greedy,1,726,81,10000,48
ac19_10438,greedy,1,99,19,10000,48
ac19_10439,greedy,1,6,5,10000,48
ac19_1044,greedy,1,8,7,10000,48
ac19_10440,greedy,1,203,36,10000,48
ac19_10441,greedy,1,6,5,10000,48
ac19_10442,greedy,1,2342,122,10000,48
ac19_10443,greedy,1,98,20,10000,48
ac19_10444,greedy,1,2835,129,10000,48
ac19_10445,greedy,1,732,90,10000,48
ac19_10446,greedy,1,14,12,10000,48
ac19_10447,greedy,1,235,27,10000,48
ac19_10448,greedy,1,10,9,10000,48
ac19_10449,greedy,1,5,4,10000,48
ac19_1045,greedy,1,14,13,10000,48
ac19_10450,greedy,1,5,4,10000,48
ac19_10451,greedy,1,8,7,10000,48
ac19_10452,greedy,1,58,12,10000,48
ac19_10453,greedy,1,9,7,10000,48
ac19_10454,greedy,1,10,9,10000,48
ac19_10455,greedy,1,7,6,10000,48
ac19_10456,greedy,1,8,7,10000,48
ac19_10457,greedy,1,3248,157,10000,48
ac19_10458,greedy,1,9,8,10000,48
ac19_10459,greedy,1,10,9,10000,48
ac19_1046,greedy,1,5,4,10000,48
ac19_10460,greedy,0,10000,,10000,48
ac19_10461,greedy,1,8,7,10000,48
ac19_10462,greedy,1,140,42,10000,48
ac19_10463,greedy,1,23,16,10000,48
ac19_10464,greedy,1,64,16,10000,48
ac19_10465,greedy,1,23,16,10000,48
ac19_10466,greedy,1,5,4,10000,48
ac19_10467,greedy,1,177,44,10000,48
ac19_10468,greedy,1,35,7,10000,48
ac19_10469,greedy,0,10000,,10000,48
ac19_1047,greedy,1,39,17,10000,48
ac19_10470,greedy,1,177,43,10000,48
ac19_10471,greedy,1,8,6,10000,48
ac19_10472,greedy,1,6,5,10000,48
ac19_10473,greedy,1,48,13,10000,48
ac19_10474,greedy,1,359,21,10000,48
ac19_10475,greedy,1,9,8,10000,48
ac19_10476,greedy,1,54,23,10000,48
ac19_10477,greedy,1,201,33,10000,48
ac19_10478,greedy,1,6,5,10000,48
ac19_10479,greedy,1,9,8,10000,48
ac19_1048,greedy,1,7,6,10000,48
ac19_10480,greedy,1,108,20,10000,48
ac19_10481,greedy,1,24,12,10000,48
ac19_10482,greedy,1,4,3,10000,48
ac19_10483,greedy,1,569,84,10000,48
ac19_10484,greedy,1,6,5,10000,48
ac19_10485,greedy,1,10,9,10000,48
ac19_10486,greedy,1,101,33,10000,48
ac19_10487,greedy,1,6835,67,10000,48
ac19_10488,greedy,1,9,8,10000,48
ac19_10489,greedy,1,12,9,10000,48
ac19_1049,greedy,1,224,28,10000,48
ac19_10490,greedy,1,4991,45,10000,48
ac19_10491,greedy,1,13,11,10000,48
ac19_10492,greedy,1,624,90,10000,48
ac19_10493,greedy,1,19,15,10000,48
ac19_10494,greedy,1,7,6,10000,48
ac19_10495,greedy,1,20,14,10000,48
ac19_10496,greedy,1,13,10,10000,48
ac19_10497,greedy,1,7,6,10000,48
ac19_10498,greedy,1,143,25,10000,48
ac19_10499,greedy,0,10000,,10000,48
ac19_105,greedy,1,9464,153,10000,48
ac19_1050,greedy,1,4753,53,10000,48
ac19_10500,greedy,1,6,5,10000,48
ac19_10501,greedy,1,23,9,10000,48
ac19_10502,greedy,1,222,54,10000,48
ac19_10503,greedy,1,157,50,10000,48
ac19_10504,greedy,1,7,6,10000,48
ac19_10505,greedy,1,69,17,10000,48
ac19_10506,greedy,1,5,4,10000,48
ac19_10507,greedy,1,225,38,10000,48
ac19_10508,greedy,1,7,6,10000,48
ac19_10509,greedy,1,6,5,10000,48
ac19_1051,greedy,1,8,7,10000,48
ac19_10510,greedy,1,1076,71,10000,48
ac19_10511,greedy,1,60,14,10000,48
ac19_10512,greedy,1,12,10,10000,48
ac19_10513,greedy,1,245,11,10000,48
ac19_10514,greedy,1,12,11,10000,48
ac19_10515,greedy,1,8,7,10000,48
ac19_10516,greedy,1,9,8,10000,48
ac19_10517,greedy,1,11,9,10000,48
ac19_10518,greedy,1,34,21,10000,48
ac19_10519,greedy,1,149,20,10000,48
ac19_1052,greedy,1,13,11,10000,48
ac19_10520,greedy,1,7,6,10000,48
ac19_10521,greedy,1,13,12,10000,48
ac19_10522,greedy,1,8,7,10000,48
ac19_10523,greedy,1,258,11,10000,48
ac19_10524,greedy,1,8,7,10000,48
ac19_10525,greedy,1,267,16,10000,48
ac19_10526,greedy,1,10,9,10000,48
ac19_10527,greedy,1,7567,147,10000,48
ac19_10528,greedy,1,12,10,10000,48
ac19_10529,greedy,1,12,9,10000,48
ac19_1053,greedy,1,5,4,10000,48
